TIME,GEO,VALUE
2021-02,Bulgaria,107.16
2021-03,Bulgaria,107.33
2021-04,Bulgaria,108.08
2021-05,Bulgaria,108.23
2021-06,Bulgaria,108.2
2021-07,Bulgaria,108.97
2021-08,Bulgaria,109.73
2021-09,Bulgaria,109.92
2021-10,Bulgaria,111.35
2021-11,Bulgaria,112.54
2021-12,Bulgaria,113.44
2022-01,Bulgaria,114.8
2022-02,Bulgaria,116.16
2022-03,Bulgaria,118.59
2022-04,Bulgaria,121.12
2022-05,Bulgaria,122.74
2022-06,Bulgaria,124.16
2022-07,Bulgaria,125.18
2022-08,Bulgaria,126.2
2022-09,Bulgaria,127.1
2022-10,Bulgaria,127.87
2022-11,Bulgaria,128.68
2022-12,Bulgaria,129.69
2023-01,Bulgaria,131.2
2023-02,Bulgaria,132.12
2023-03,Bulgaria,132.9
2023-04,Bulgaria,133.63
2023-05,Bulgaria,133.3
2023-06,Bulgaria,133.45
2023-07,Bulgaria,134.99
2023-08,Bulgaria,135.61
2023-09,Bulgaria,135.18
2023-10,Bulgaria,135.44
2023-11,Bulgaria,135.77
2023-12,Bulgaria,136.16
2024-01,Bulgaria,136.29
2024-02,Bulgaria,136.72
2024-03,Bulgaria,137.05
2024-04,Bulgaria,136.93
2024-05,Bulgaria,136.93
2024-06,Bulgaria,137.15
2024-07,Bulgaria,138.75
2015-01,Czechia,99.5
2015-02,Czechia,99.6
2015-03,Czechia,99.8
2015-04,Czechia,100.2
2015-05,Czechia,100.5
2015-06,Czechia,100.7
2015-07,Czechia,100.5
2015-08,Czechia,100.2
2015-09,Czechia,100.1
2015-10,Czechia,100
2015-11,Czechia,99.6
2015-12,Czechia,99.4
2016-01,Czechia,100
2016-02,Czechia,100.1
2016-03,Czechia,100.1
2016-04,Czechia,100.7
2016-05,Czechia,100.5
2016-06,Czechia,100.6
2016-07,Czechia,101
2016-08,Czechia,100.8
2016-09,Czechia,100.6
2016-10,Czechia,100.8
2016-11,Czechia,101.2
2016-12,Czechia,101.5
2017-01,Czechia,102.3
2017-02,Czechia,102.7
2017-03,Czechia,102.7
2017-04,Czechia,102.8
2017-05,Czechia,103
2017-06,Czechia,103
2017-07,Czechia,103.4
2017-08,Czechia,103.2
2017-09,Czechia,103.1
2017-10,Czechia,103.6
2017-11,Czechia,103.7
2017-12,Czechia,103.7
2018-01,Czechia,104.4
2018-02,Czechia,104.3
2018-03,Czechia,104.3
2018-04,Czechia,104.6
2018-05,Czechia,105.1
2018-06,Czechia,105.5
2018-07,Czechia,105.7
2018-08,Czechia,105.7
2018-09,Czechia,105.3
2018-10,Czechia,105.7
2018-11,Czechia,105.4
2018-12,Czechia,105.4
2019-01,Czechia,106.5
2019-02,Czechia,106.8
2019-03,Czechia,107
2019-04,Czechia,107.1
2019-05,Czechia,107.8
2019-06,Czechia,108
2019-07,Czechia,108.4
2019-08,Czechia,108.5
2019-09,Czechia,108
2019-10,Czechia,108.5
2019-11,Czechia,108.6
2019-12,Czechia,108.8
2020-01,Czechia,110.5
2020-02,Czechia,110.8
2020-03,Czechia,110.8
2020-04,Czechia,110.6
2020-05,Czechia,111.1
2020-06,Czechia,111.7
2020-07,Czechia,112.3
2020-08,Czechia,112.3
2020-09,Czechia,111.6
2020-10,Czechia,111.7
2020-11,Czechia,111.6
2020-12,Czechia,111.4
2021-01,Czechia,112.9
2021-02,Czechia,113.1
2021-03,Czechia,113.3
2021-04,Czechia,114
2021-05,Czechia,114.1
2021-06,Czechia,114.5
2021-07,Czechia,115.3
2021-08,Czechia,115.8
2021-09,Czechia,116.1
2021-10,Czechia,117.1
2021-11,Czechia,117
2021-12,Czechia,117.4
2022-01,Czechia,122.8
2022-02,Czechia,124.4
2022-03,Czechia,126.8
2022-04,Czechia,129.1
2022-05,Czechia,131.5
2022-06,Czechia,133.5
2022-07,Czechia,135.2
2022-08,Czechia,135.6
2022-09,Czechia,136.8
2022-10,Czechia,135.3
2022-11,Czechia,137.1
2022-12,Czechia,137.1
2023-01,Czechia,146.2
2023-02,Czechia,147.3
2023-03,Czechia,147.7
2023-04,Czechia,147.5
2023-05,Czechia,147.9
2023-06,Czechia,148.4
2023-07,Czechia,149
2023-08,Czechia,149.3
2023-09,Czechia,148.1
2023-10,Czechia,148.1
2023-11,Czechia,148.1
2023-12,Czechia,147.5
2024-01,Czechia,150.1
2024-02,Czechia,150.6
2024-03,Czechia,150.9
2024-04,Czechia,152.1
2024-05,Czechia,152
2024-06,Czechia,151.6
2024-07,Czechia,152.7
2015-01,Denmark,98.9
2015-02,Denmark,99.7
2015-03,Denmark,100.2
2015-04,Denmark,100.4
2015-05,Denmark,100.4
2015-06,Denmark,100.3
2015-07,Denmark,100.2
2015-08,Denmark,99.9
2015-09,Denmark,100.2
2015-10,Denmark,100.1
2015-11,Denmark,99.9
2015-12,Denmark,99.8
2016-01,Denmark,99.3
2016-02,Denmark,99.8
2016-03,Denmark,99.9
2016-04,Denmark,100.1
2016-05,Denmark,100.3
2016-06,Denmark,100.4
2016-07,Denmark,100.3
2016-08,Denmark,99.9
2016-09,Denmark,99.9
2016-10,Denmark,100.2
2016-11,Denmark,100
2016-12,Denmark,100.1
2017-01,Denmark,100
2017-02,Denmark,100.7
2017-03,Denmark,100.8
2017-04,Denmark,101.1
2017-05,Denmark,101
2017-06,Denmark,100.8
2017-07,Denmark,101.8
2017-08,Denmark,101.4
2017-09,Denmark,101.5
2017-10,Denmark,101.6
2017-11,Denmark,101.3
2017-12,Denmark,100.9
2018-01,Denmark,100.6
2018-02,Denmark,101.2
2018-03,Denmark,101.2
2018-04,Denmark,101.8
2018-05,Denmark,102
2018-06,Denmark,101.9
2018-07,Denmark,102.7
2018-08,Denmark,102.2
2018-09,Denmark,102
2018-10,Denmark,102.3
2018-11,Denmark,102
2018-12,Denmark,101.6
2019-01,Denmark,101.8
2019-02,Denmark,102.3
2019-03,Denmark,102.4
2019-04,Denmark,102.7
2019-05,Denmark,102.7
2019-06,Denmark,102.4
2019-07,Denmark,103.1
2019-08,Denmark,102.7
2019-09,Denmark,102.4
2019-10,Denmark,102.9
2019-11,Denmark,102.6
2019-12,Denmark,102.4
2020-01,Denmark,102.6
2020-02,Denmark,103
2020-03,Denmark,102.7
2020-04,Denmark,102.6
2020-05,Denmark,102.5
2020-06,Denmark,102.6
2020-07,Denmark,103.5
2020-08,Denmark,103.1
2020-09,Denmark,102.9
2020-10,Denmark,103.2
2020-11,Denmark,103
2020-12,Denmark,102.8
2021-01,Denmark,103
2021-02,Denmark,103.5
2021-03,Denmark,103.6
2021-04,Denmark,104.1
2021-05,Denmark,104.4
2021-06,Denmark,104.5
2021-07,Denmark,105.3
2021-08,Denmark,105
2021-09,Denmark,105.4
2021-10,Denmark,106.5
2021-11,Denmark,106.9
2021-12,Denmark,106.3
2022-01,Denmark,108
2022-02,Denmark,109
2022-03,Denmark,109.8
2022-04,Denmark,111.8
2022-05,Denmark,113
2022-06,Denmark,114
2022-07,Denmark,115.4
2022-08,Denmark,115.4
2022-09,Denmark,117.1
2022-10,Denmark,118.6
2022-11,Denmark,117.3
2022-12,Denmark,116.5
2023-01,Denmark,117.1
2023-02,Denmark,118
2023-03,Denmark,117.8
2023-04,Denmark,118.1
2023-05,Denmark,116.3
2023-06,Denmark,116.7
2023-07,Denmark,119.1
2023-08,Denmark,118.1
2023-09,Denmark,117.8
2023-10,Denmark,118.1
2023-11,Denmark,117.6
2023-12,Denmark,117
2024-01,Denmark,118.2
2024-02,Denmark,118.7
2024-03,Denmark,118.7
2024-04,Denmark,118.7
2024-05,Denmark,118.7
