TIME,GEO,SEX,AGE,VALUE
2008,Belgium,Total,Total,10666866
2009,Belgium,Total,Total,10753080
2010,Belgium,Total,Total,10839905
2011,Belgium,Total,Total,11000638
2012,Belgium,Total,Total,11075889
2013,Belgium,Total,Total,11137974
2014,Belgium,Total,Total,11180840
2015,Belgium,Total,Total,11237274
2016,Belgium,Total,Total,11311117
2017,Belgium,Total,Total,11351727
2018,Belgium,Total,Total,11398589
2019,Belgium,Total,Total,11455519
2020,Belgium,Total,Total,11522440
2021,Belgium,Total,Total,11554767
2022,Belgium,Total,Total,11617623
2023,Belgium,Total,Total,11742796
2008,Bulgaria,Total,Total,7518002
2009,Bulgaria,Total,Total,7467119
2010,Bulgaria,Total,Total,7421766
2011,Bulgaria,Total,Total,7369431
2012,Bulgaria,Total,Total,7327224
2013,Bulgaria,Total,Total,7202556
2014,Bulgaria,Total,Total,7117453
2015,Bulgaria,Total,Total,7029690
2016,Bulgaria,Total,Total,6938759
2017,Bulgaria,Total,Total,6849518
2018,Bulgaria,Total,Total,6757418
2019,Bulgaria,Total,Total,6664177
2020,Bulgaria,Total,Total,6569275
2021,Bulgaria,Total,Total,6532117
2022,Bulgaria,Total,Total,6482484
2023,Bulgaria,Total,Total,6447710
2008,Czechia,Total,Total,10343422
2009,Czechia,Total,Total,10425783
2010,Czechia,Total,Total,10462088
2011,Czechia,Total,Total,10486731
2012,Czechia,Total,Total,10505445
2013,Czechia,Total,Total,10516125
2014,Czechia,Total,Total,10512419
2015,Czechia,Total,Total,10538275
2016,Czechia,Total,Total,10553843
2017,Czechia,Total,Total,10578820
2018,Czechia,Total,Total,10610055
2019,Czechia,Total,Total,10649800
2020,Czechia,Total,Total,10693939
2021,Czechia,Total,Total,10494836
2022,Czechia,Total,Total,10516707
2023,Czechia,Total,Total,10827529
2008,Denmark,Total,Total,5475791
2009,Denmark,Total,Total,5511451
2010,Denmark,Total,Total,5534738
2011,Denmark,Total,Total,5560628
2012,Denmark,Total,Total,5580516
2013,Denmark,Total,Total,5602628
2014,Denmark,Total,Total,5627235
2015,Denmark,Total,Total,5659715
2016,Denmark,Total,Total,5707251
2017,Denmark,Total,Total,5748769
2018,Denmark,Total,Total,5781190
2019,Denmark,Total,Total,5806081
2020,Denmark,Total,Total,5822763
2021,Denmark,Total,Total,5840045
2022,Denmark,Total,Total,5873420
2023,Denmark,Total,Total,5932654
2008,Germany,Total,Total,82217837
2009,Germany,Total,Total,82002356
2010,Germany,Total,Total,81802257
2011,Germany,Total,Total,80222065
2012,Germany,Total,Total,80327900
2013,Germany,Total,Total,80523746
2014,Germany,Total,Total,80767463
2015,Germany,Total,Total,81197537
2016,Germany,Total,Total,82175684
2017,Germany,Total,Total,82521653
2018,Germany,Total,Total,82792351
2019,Germany,Total,Total,83019213
2020,Germany,Total,Total,83166711
2021,Germany,Total,Total,83155031
2022,Germany,Total,Total,83237124
2023,Germany,Total,Total,84358845
2008,Estonia,Total,Total,1338440
2009,Estonia,Total,Total,1335740
2010,Estonia,Total,Total,1333290
2011,Estonia,Total,Total,1329660
2012,Estonia,Total,Total,1325217
2013,Estonia,Total,Total,1320174
2014,Estonia,Total,Total,1315819
2015,Estonia,Total,Total,1314870
2016,Estonia,Total,Total,1315944
2017,Estonia,Total,Total,1315635
2018,Estonia,Total,Total,1319133
2019,Estonia,Total,Total,1324820
2020,Estonia,Total,Total,1328976
2021,Estonia,Total,Total,1330068
2022,Estonia,Total,Total,1331796
2023,Estonia,Total,Total,1365884
2008,Ireland,Total,Total,4457765
2009,Ireland,Total,Total,4521322
2010,Ireland,Total,Total,4549428
2011,Ireland,Total,Total,4570881
2012,Ireland,Total,Total,4589287
2013,Ireland,Total,Total,4609779
2014,Ireland,Total,Total,4637852
2015,Ireland,Total,Total,4677627
2016,Ireland,Total,Total,4726286
2017,Ireland,Total,Total,4784383
2018,Ireland,Total,Total,4830392
2019,Ireland,Total,Total,4904240
2020,Ireland,Total,Total,4964440
2021,Ireland,Total,Total,5006324
2022,Ireland,Total,Total,5060004
2023,Ireland,Total,Total,5271395
2008,Greece,Total,Total,11060937
2009,Greece,Total,Total,11094745
2010,Greece,Total,Total,11119289
2011,Greece,Total,Total,11123392
2012,Greece,Total,Total,11086406
2013,Greece,Total,Total,11003615
2014,Greece,Total,Total,10926807
2015,Greece,Total,Total,10858018
2016,Greece,Total,Total,10783748
2017,Greece,Total,Total,10768193
2018,Greece,Total,Total,10741165
2019,Greece,Total,Total,10724599
2020,Greece,Total,Total,10718565
2021,Greece,Total,Total,10678632
2022,Greece,Total,Total,10459782
2023,Greece,Total,Total,10413982
2008,Spain,Total,Total,45668939
2009,Spain,Total,Total,46239273
2010,Spain,Total,Total,46486619
2011,Spain,Total,Total,46667174
2012,Spain,Total,Total,46818219
2013,Spain,Total,Total,46727890
2014,Spain,Total,Total,46512199
2015,Spain,Total,Total,46449565
2016,Spain,Total,Total,46440099
2017,Spain,Total,Total,46528024
2018,Spain,Total,Total,46658447
2019,Spain,Total,Total,46937060
2020,Spain,Total,Total,47332614
2021,Spain,Total,Total,47398695
2022,Spain,Total,Total,47432893
2023,Spain,Total,Total,48085361
2008,France,Total,Total,64007193
2009,France,Total,Total,64350226
2010,France,Total,Total,64658856
2011,France,Total,Total,64978721
2012,France,Total,Total,65276983
2013,France,Total,Total,65600350
2014,France,Total,Total,66165980
2015,France,Total,Total,66458153
2016,France,Total,Total,66638391
2017,France,Total,Total,66809816
2018,France,Total,Total,67026224
2019,France,Total,Total,67290471
2020,France,Total,Total,67473651
2021,France,Total,Total,67728568
2022,France,Total,Total,67957053
2023,France,Total,Total,68172977
2008,Croatia,Total,Total,4311967
2009,Croatia,Total,Total,4309796
2010,Croatia,Total,Total,4302847
2011,Croatia,Total,Total,4289857
2012,Croatia,Total,Total,4275984
2013,Croatia,Total,Total,4247803
2014,Croatia,Total,Total,4217632
2015,Croatia,Total,Total,4180915
2016,Croatia,Total,Total,4131115
2017,Croatia,Total,Total,4078769
2018,Croatia,Total,Total,4014341
2019,Croatia,Total,Total,3968676
2020,Croatia,Total,Total,3933511
2021,Croatia,Total,Total,3893026
2022,Croatia,Total,Total,3862305
2023,Croatia,Total,Total,3850894
2008,Italy,Total,Total,59001769
2009,Italy,Total,Total,59420592
2010,Italy,Total,Total,59690316
2011,Italy,Total,Total,59948497
2012,Italy,Total,Total,60105185
2013,Italy,Total,Total,60277309
2014,Italy,Total,Total,60345917
2015,Italy,Total,Total,60295497
2016,Italy,Total,Total,60163712
2017,Italy,Total,Total,60066734
2018,Italy,Total,Total,59937769
2019,Italy,Total,Total,59816673
2020,Italy,Total,Total,59641488
2021,Italy,Total,Total,59236213
2022,Italy,Total,Total,59030133
2023,Italy,Total,Total,58997201
2008,Cyprus,Total,Total,776333
2009,Cyprus,Total,Total,796930
2010,Cyprus,Total,Total,819140
2011,Cyprus,Total,Total,839751
2012,Cyprus,Total,Total,862011
2013,Cyprus,Total,Total,865878
2014,Cyprus,Total,Total,858000
2015,Cyprus,Total,Total,847008
2016,Cyprus,Total,Total,848319
2017,Cyprus,Total,Total,854802
2018,Cyprus,Total,Total,864236
2019,Cyprus,Total,Total,875899
2020,Cyprus,Total,Total,888005
2021,Cyprus,Total,Total,896007
2022,Cyprus,Total,Total,904705
2023,Cyprus,Total,Total,920701
2008,Latvia,Total,Total,2191810
2009,Latvia,Total,Total,2162834
2010,Latvia,Total,Total,2120504
2011,Latvia,Total,Total,2074605
2012,Latvia,Total,Total,2044813
2013,Latvia,Total,Total,2023825
2014,Latvia,Total,Total,2001468
2015,Latvia,Total,Total,1986096
2016,Latvia,Total,Total,1968957
2017,Latvia,Total,Total,1950116
2018,Latvia,Total,Total,1934379
2019,Latvia,Total,Total,1919968
2020,Latvia,Total,Total,1907675
2021,Latvia,Total,Total,1893223
2022,Latvia,Total,Total,1875757
2023,Latvia,Total,Total,1883008
2008,Lithuania,Total,Total,3212605
2009,Lithuania,Total,Total,3183856
2010,Lithuania,Total,Total,3141976
2011,Lithuania,Total,Total,3052588
2012,Lithuania,Total,Total,3003641
2013,Lithuania,Total,Total,2971905
2014,Lithuania,Total,Total,2974637
2015,Lithuania,Total,Total,2947862
2016,Lithuania,Total,Total,2926644
2017,Lithuania,Total,Total,2895573
2018,Lithuania,Total,Total,2859077
2019,Lithuania,Total,Total,2826200
2020,Lithuania,Total,Total,2812200
2021,Lithuania,Total,Total,2809977
2022,Lithuania,Total,Total,2805998
2023,Lithuania,Total,Total,2857279
2008,Luxembourg,Total,Total,483799
2009,Luxembourg,Total,Total,493500
2010,Luxembourg,Total,Total,502066
2011,Luxembourg,Total,Total,511840
2012,Luxembourg,Total,Total,524853
2013,Luxembourg,Total,Total,537039
2014,Luxembourg,Total,Total,549680
2015,Luxembourg,Total,Total,562958
2016,Luxembourg,Total,Total,576249
2017,Luxembourg,Total,Total,590667
2018,Luxembourg,Total,Total,602005
2019,Luxembourg,Total,Total,613894
2020,Luxembourg,Total,Total,626108
2021,Luxembourg,Total,Total,634730
2022,Luxembourg,Total,Total,645397
2023,Luxembourg,Total,Total,660809
2008,Hungary,Total,Total,10045401
2009,Hungary,Total,Total,10030975
2010,Hungary,Total,Total,10014324
2011,Hungary,Total,Total,9985722
2012,Hungary,Total,Total,9931925
2013,Hungary,Total,Total,9908798
2014,Hungary,Total,Total,9877365
2015,Hungary,Total,Total,9855571
2016,Hungary,Total,Total,9830485
2017,Hungary,Total,Total,9797561
2018,Hungary,Total,Total,9778371
2019,Hungary,Total,Total,9772756
2020,Hungary,Total,Total,9769526
2021,Hungary,Total,Total,9730772
2022,Hungary,Total,Total,9689010
2023,Hungary,Total,Total,9599744
2008,Malta,Total,Total,407832
2009,Malta,Total,Total,410926
2010,Malta,Total,Total,414027
2011,Malta,Total,Total,414989
2012,Malta,Total,Total,417546
2013,Malta,Total,Total,422509
2014,Malta,Total,Total,429424
2015,Malta,Total,Total,439691
2016,Malta,Total,Total,450415
2017,Malta,Total,Total,460297
2018,Malta,Total,Total,475701
2019,Malta,Total,Total,493559
2020,Malta,Total,Total,514564
2021,Malta,Total,Total,516100
2022,Malta,Total,Total,520971
2023,Malta,Total,Total,542051
2008,Netherlands,Total,Total,16405399
2009,Netherlands,Total,Total,16485787
2010,Netherlands,Total,Total,16574989
2011,Netherlands,Total,Total,16655799
2012,Netherlands,Total,Total,16730348
2013,Netherlands,Total,Total,16779575
2014,Netherlands,Total,Total,16829289
2015,Netherlands,Total,Total,16900726
2016,Netherlands,Total,Total,16979120
2017,Netherlands,Total,Total,17081507
2018,Netherlands,Total,Total,17181084
2019,Netherlands,Total,Total,17282163
2020,Netherlands,Total,Total,17407585
2021,Netherlands,Total,Total,17475415
2022,Netherlands,Total,Total,17590672
2023,Netherlands,Total,Total,17811291
2008,Austria,Total,Total,8307989
2009,Austria,Total,Total,8335003
2010,Austria,Total,Total,8351643
2011,Austria,Total,Total,8375164
2012,Austria,Total,Total,8408121
2013,Austria,Total,Total,8451860
2014,Austria,Total,Total,8507786
2015,Austria,Total,Total,8584926
2016,Austria,Total,Total,8700471
2017,Austria,Total,Total,8772865
2018,Austria,Total,Total,8822267
2019,Austria,Total,Total,8858775
2020,Austria,Total,Total,8901064
2021,Austria,Total,Total,8932664
2022,Austria,Total,Total,8978929
2023,Austria,Total,Total,9104772
2008,Poland,Total,Total,38115641
2009,Poland,Total,Total,38135876
2010,Poland,Total,Total,38022869
2011,Poland,Total,Total,38062718
2012,Poland,Total,Total,38063792
2013,Poland,Total,Total,38062535
2014,Poland,Total,Total,38017856
2015,Poland,Total,Total,38005614
2016,Poland,Total,Total,37967209
2017,Poland,Total,Total,37972964
2018,Poland,Total,Total,37976687
2019,Poland,Total,Total,37972812
2020,Poland,Total,Total,37958138
2021,Poland,Total,Total,37073357
2022,Poland,Total,Total,36889761
2023,Poland,Total,Total,36753736
2008,Portugal,Total,Total,10553339
2009,Portugal,Total,Total,10563014
2010,Portugal,Total,Total,10573479
2011,Portugal,Total,Total,10572721
2012,Portugal,Total,Total,10542398
2013,Portugal,Total,Total,10487289
2014,Portugal,Total,Total,10427301
2015,Portugal,Total,Total,10374822
2016,Portugal,Total,Total,10341330
2017,Portugal,Total,Total,10309573
2018,Portugal,Total,Total,10291027
2019,Portugal,Total,Total,10276617
2020,Portugal,Total,Total,10295909
2021,Portugal,Total,Total,10298252
2022,Portugal,Total,Total,10352042
2023,Portugal,Total,Total,10516621
2008,Romania,Total,Total,20635460
2009,Romania,Total,Total,20440290
2010,Romania,Total,Total,20294683
2011,Romania,Total,Total,20199059
2012,Romania,Total,Total,20095996
2013,Romania,Total,Total,20020074
2014,Romania,Total,Total,19947311
2015,Romania,Total,Total,19870647
2016,Romania,Total,Total,19760585
2017,Romania,Total,Total,19643949
2018,Romania,Total,Total,19533481
2019,Romania,Total,Total,19414458
2020,Romania,Total,Total,19328838
2021,Romania,Total,Total,19201662
2022,Romania,Total,Total,19042455
2023,Romania,Total,Total,19054548
2008,Slovenia,Total,Total,2010269
2009,Slovenia,Total,Total,2032362
2010,Slovenia,Total,Total,2046976
2011,Slovenia,Total,Total,2050189
2012,Slovenia,Total,Total,2055496
2013,Slovenia,Total,Total,2058821
2014,Slovenia,Total,Total,2061085
2015,Slovenia,Total,Total,2062874
2016,Slovenia,Total,Total,2064188
2017,Slovenia,Total,Total,2065895
2018,Slovenia,Total,Total,2066880
2019,Slovenia,Total,Total,2080908
2020,Slovenia,Total,Total,2095861
2021,Slovenia,Total,Total,2108977
2022,Slovenia,Total,Total,2107180
2023,Slovenia,Total,Total,2116972
2008,Slovakia,Total,Total,5376064
2009,Slovakia,Total,Total,5382401
2010,Slovakia,Total,Total,5390410
2011,Slovakia,Total,Total,5392446
2012,Slovakia,Total,Total,5404322
2013,Slovakia,Total,Total,5410836
2014,Slovakia,Total,Total,5415949
2015,Slovakia,Total,Total,5421349
2016,Slovakia,Total,Total,5426252
2017,Slovakia,Total,Total,5435343
2018,Slovakia,Total,Total,5443120
2019,Slovakia,Total,Total,5450421
2020,Slovakia,Total,Total,5457873
2021,Slovakia,Total,Total,5459781
2022,Slovakia,Total,Total,5434712
2023,Slovakia,Total,Total,5428792
2008,Finland,Total,Total,5300484
2009,Finland,Total,Total,5326314
2010,Finland,Total,Total,5351427
2011,Finland,Total,Total,5375276
2012,Finland,Total,Total,5401267
2013,Finland,Total,Total,5426674
2014,Finland,Total,Total,5451270
2015,Finland,Total,Total,5471753
2016,Finland,Total,Total,5487308
2017,Finland,Total,Total,5503297
2018,Finland,Total,Total,5513130
2019,Finland,Total,Total,5517919
2020,Finland,Total,Total,5525292
2021,Finland,Total,Total,5533793
2022,Finland,Total,Total,5548241
2023,Finland,Total,Total,5563970
2008,Sweden,Total,Total,9182927
2009,Sweden,Total,Total,9256347
2010,Sweden,Total,Total,9340682
2011,Sweden,Total,Total,9415570
2012,Sweden,Total,Total,9482855
2013,Sweden,Total,Total,9555893
2014,Sweden,Total,Total,9644864
2015,Sweden,Total,Total,9747355
2016,Sweden,Total,Total,9851017
2017,Sweden,Total,Total,9995153
2018,Sweden,Total,Total,10120242
2019,Sweden,Total,Total,10230185
2020,Sweden,Total,Total,10327589
2021,Sweden,Total,Total,10379295
2022,Sweden,Total,Total,10452326
2023,Sweden,Total,Total,10521556
2008,Iceland,Total,Total,315459
2009,Iceland,Total,Total,319368
2010,Iceland,Total,Total,317630
2011,Iceland,Total,Total,318452
2012,Iceland,Total,Total,319575
2013,Iceland,Total,Total,321857
2014,Iceland,Total,Total,325671
2015,Iceland,Total,Total,329100
2016,Iceland,Total,Total,332529
2017,Iceland,Total,Total,338349
2018,Iceland,Total,Total,348450
2019,Iceland,Total,Total,356991
2020,Iceland,Total,Total,364134
2021,Iceland,Total,Total,368792
2022,Iceland,Total,Total,376248
2023,Iceland,Total,Total,387758
2008,Liechtenstein,Total,Total,35356
2009,Liechtenstein,Total,Total,35589
2010,Liechtenstein,Total,Total,35894
2011,Liechtenstein,Total,Total,36149
2012,Liechtenstein,Total,Total,36475
2013,Liechtenstein,Total,Total,36838
2014,Liechtenstein,Total,Total,37129
2015,Liechtenstein,Total,Total,37366
2016,Liechtenstein,Total,Total,37622
2017,Liechtenstein,Total,Total,37810
2018,Liechtenstein,Total,Total,38114
2019,Liechtenstein,Total,Total,38378
2020,Liechtenstein,Total,Total,38747
2021,Liechtenstein,Total,Total,39055
2022,Liechtenstein,Total,Total,39308
2023,Liechtenstein,Total,Total,39677
2008,Norway,Total,Total,4737171
2009,Norway,Total,Total,4799252
2010,Norway,Total,Total,4858199
2011,Norway,Total,Total,4920305
2012,Norway,Total,Total,4985870
2013,Norway,Total,Total,5051275
2014,Norway,Total,Total,5109056
2015,Norway,Total,Total,5165802
2016,Norway,Total,Total,5213985
2017,Norway,Total,Total,5258317
2018,Norway,Total,Total,5295619
2019,Norway,Total,Total,5328212
2020,Norway,Total,Total,5367580
2021,Norway,Total,Total,5391369
2022,Norway,Total,Total,5425270
2023,Norway,Total,Total,5488984
2008,Switzerland,Total,Total,7593494
2009,Switzerland,Total,Total,7701856
2010,Switzerland,Total,Total,7785806
2011,Switzerland,Total,Total,7870134
2012,Switzerland,Total,Total,7954662
2013,Switzerland,Total,Total,8039060
2014,Switzerland,Total,Total,8139631
2015,Switzerland,Total,Total,8237666
2016,Switzerland,Total,Total,8327126
2017,Switzerland,Total,Total,8419550
2018,Switzerland,Total,Total,8484130
2019,Switzerland,Total,Total,8544527
2020,Switzerland,Total,Total,8606033
2021,Switzerland,Total,Total,8670300
2022,Switzerland,Total,Total,8738791
2023,Switzerland,Total,Total,8815385
2008,United Kingdom,Total,Total,61571647
2009,United Kingdom,Total,Total,62042343
2010,United Kingdom,Total,Total,62510197
2011,United Kingdom,Total,Total,63022532
2012,United Kingdom,Total,Total,63495088
2013,United Kingdom,Total,Total,63905342
2014,United Kingdom,Total,Total,64351203
2015,United Kingdom,Total,Total,64853393
2016,United Kingdom,Total,Total,65379044
2017,United Kingdom,Total,Total,65844142
2018,United Kingdom,Total,Total,66273576
2019,United Kingdom,Total,Total,66647112
2020,United Kingdom,Total,Total,67025542
2008,Bosnia and Herzegovina,Total,Total,3843846
2009,Bosnia and Herzegovina,Total,Total,3843998
2010,Bosnia and Herzegovina,Total,Total,3844046
2011,Bosnia and Herzegovina,Total,Total,3843183
2012,Bosnia and Herzegovina,Total,Total,3839265
2008,Montenegro,Total,Total,615543
2009,Montenegro,Total,Total,617157
2010,Montenegro,Total,Total,619001
2011,Montenegro,Total,Total,619850
2012,Montenegro,Total,Total,620308
2013,Montenegro,Total,Total,620893
2014,Montenegro,Total,Total,621521
2015,Montenegro,Total,Total,622099
2016,Montenegro,Total,Total,622218
2017,Montenegro,Total,Total,622387
2018,Montenegro,Total,Total,622359
2019,Montenegro,Total,Total,622182
2020,Montenegro,Total,Total,621873
2021,Montenegro,Total,Total,620739
2022,Montenegro,Total,Total,617683
2023,Montenegro,Total,Total,616695
2008,Moldova,Total,Total,3572703
2009,Moldova,Total,Total,3567512
2010,Moldova,Total,Total,3563695
2011,Moldova,Total,Total,3560430
2012,Moldova,Total,Total,3559541
2013,Moldova,Total,Total,3559497
2014,Moldova,Total,Total,3557634
2015,Moldova,Total,Total,3555159
2017,Moldova,Total,Total,3550852
2008,North Macedonia,Total,Total,2045177
2009,North Macedonia,Total,Total,2048619
2010,North Macedonia,Total,Total,2052722
2011,North Macedonia,Total,Total,2057284
2012,North Macedonia,Total,Total,2059794
2013,North Macedonia,Total,Total,2062294
2014,North Macedonia,Total,Total,2065769
2015,North Macedonia,Total,Total,2069172
2016,North Macedonia,Total,Total,2071278
2017,North Macedonia,Total,Total,2073702
2018,North Macedonia,Total,Total,2075301
2019,North Macedonia,Total,Total,2077132
2020,North Macedonia,Total,Total,2076255
2021,North Macedonia,Total,Total,2068808
2022,North Macedonia,Total,Total,1837114
2008,Georgia,Total,Total,4382070
2009,Georgia,Total,Total,4385429
2010,Georgia,Total,Total,4436391
2011,Georgia,Total,Total,4469250
2012,Georgia,Total,Total,4497617
2014,Georgia,Total,Total,4490498
2015,Georgia,Total,Total,3729500
2016,Georgia,Total,Total,3720400
2017,Georgia,Total,Total,3718200
2018,Georgia,Total,Total,3729633
2019,Georgia,Total,Total,3723464
2020,Georgia,Total,Total,3716858
2008,Albania,Total,Total,2958266
2009,Albania,Total,Total,2936355
2010,Albania,Total,Total,2918674
2011,Albania,Total,Total,2907361
2012,Albania,Total,Total,2903008
2013,Albania,Total,Total,2897770
2014,Albania,Total,Total,2892394
2015,Albania,Total,Total,2885796
2016,Albania,Total,Total,2875592
2017,Albania,Total,Total,2876591
2018,Albania,Total,Total,2870324
2019,Albania,Total,Total,2862427
2020,Albania,Total,Total,2845955
2021,Albania,Total,Total,2829741
2022,Albania,Total,Total,2793592
2023,Albania,Total,Total,2761785
2008,Serbia,Total,Total,7365507
2009,Serbia,Total,Total,7334937
2010,Serbia,Total,Total,7306677
2011,Serbia,Total,Total,7251549
2012,Serbia,Total,Total,7216649
2013,Serbia,Total,Total,7181505
2014,Serbia,Total,Total,7146759
2015,Serbia,Total,Total,7114393
2016,Serbia,Total,Total,7076372
2017,Serbia,Total,Total,7040272
2018,Serbia,Total,Total,7001444
2019,Serbia,Total,Total,6963764
2020,Serbia,Total,Total,6926705
2021,Serbia,Total,Total,6871547
2022,Serbia,Total,Total,6797105
2023,Serbia,Total,Total,6641197
2008,Türkiye,Total,Total,70586256
2009,Türkiye,Total,Total,71517100
2010,Türkiye,Total,Total,72561312
2011,Türkiye,Total,Total,73722988
2012,Türkiye,Total,Total,74724269
2013,Türkiye,Total,Total,75627384
2014,Türkiye,Total,Total,76667864
2015,Türkiye,Total,Total,77695904
2016,Türkiye,Total,Total,78741053
2017,Türkiye,Total,Total,79814871
2018,Türkiye,Total,Total,80810525
2019,Türkiye,Total,Total,82003882
2020,Türkiye,Total,Total,83154997
2021,Türkiye,Total,Total,83614362
2022,Türkiye,Total,Total,84680273
2023,Türkiye,Total,Total,85279553
2008,Ukraine,Total,Total,46192309
2009,Ukraine,Total,Total,45963359
2010,Ukraine,Total,Total,45782592
2011,Ukraine,Total,Total,45598179
2012,Ukraine,Total,Total,45453282
2013,Ukraine,Total,Total,45372692
2014,Ukraine,Total,Total,45245894
2015,Ukraine,Total,Total,42759661
2016,Ukraine,Total,Total,42590879
2017,Ukraine,Total,Total,42414905
2018,Ukraine,Total,Total,42216766
2019,Ukraine,Total,Total,41983564
2020,Ukraine,Total,Total,41732779
2021,Ukraine,Total,Total,41418717
2022,Ukraine,Total,Total,40997698
2008,Kosovo*,Total,Total,2153139
2009,Kosovo*,Total,Total,2180686
2010,Kosovo*,Total,Total,2208107
2011,Kosovo*,Total,Total,1794180
2016,Kosovo*,Total,Total,1771604
2017,Kosovo*,Total,Total,1783531
2018,Kosovo*,Total,Total,1798506
2019,Kosovo*,Total,Total,1795666
2020,Kosovo*,Total,Total,1782115
2008,Andorra,Total,Total,83137
2009,Andorra,Total,Total,84484
2010,Andorra,Total,Total,84082
2011,Andorra,Total,Total,78115
2012,Andorra,Total,Total,78115
2013,Andorra,Total,Total,76246
2019,Andorra,Total,Total,76177
2008,Belarus,Total,Total,9689770
2009,Belarus,Total,Total,9671912
2010,Belarus,Total,Total,9480178
2011,Belarus,Total,Total,9481193
2012,Belarus,Total,Total,9465150
2013,Belarus,Total,Total,9463840
2014,Belarus,Total,Total,9468154
2015,Belarus,Total,Total,9480868
2016,Belarus,Total,Total,9498364
2017,Belarus,Total,Total,9504704
2018,Belarus,Total,Total,9491823
2019,Belarus,Total,Total,9475174
2008,Russia,Total,Total,142008838
2009,Russia,Total,Total,141903979
2010,Russia,Total,Total,141914509
2011,Russia,Total,Total,142856536
2012,Russia,Total,Total,143056383
2014,Russia,Total,Total,143666931
2008,San Marino,Total,Total,32054
2009,San Marino,Total,Total,31269
2011,San Marino,Total,Total,31863
2012,San Marino,Total,Total,33376
2013,San Marino,Total,Total,33562
2018,San Marino,Total,Total,34453
2020,San Marino,Total,Total,34735
2008,Armenia,Total,Total,3230086
2009,Armenia,Total,Total,3237976
2010,Armenia,Total,Total,3249482
2011,Armenia,Total,Total,3262650
2012,Armenia,Total,Total,3274285
2014,Armenia,Total,Total,3017079
2015,Armenia,Total,Total,3010598
2016,Armenia,Total,Total,2998577
2017,Armenia,Total,Total,2986151
2018,Armenia,Total,Total,2972732
2019,Armenia,Total,Total,2965269
2020,Armenia,Total,Total,2959694
2008,Azerbaijan,Total,Total,8629900
2009,Azerbaijan,Total,Total,8896900
2010,Azerbaijan,Total,Total,8997586
2011,Azerbaijan,Total,Total,9111078
2012,Azerbaijan,Total,Total,9235085
2013,Azerbaijan,Total,Total,9356483
2014,Azerbaijan,Total,Total,9477119
2015,Azerbaijan,Total,Total,9593038
2016,Azerbaijan,Total,Total,9705643
2017,Azerbaijan,Total,Total,9809981
2018,Azerbaijan,Total,Total,9898085
2019,Azerbaijan,Total,Total,9981457
2020,Azerbaijan,Total,Total,10067108
2008,Belgium,Males,Total,5224309
2009,Belgium,Males,Total,5268651
2010,Belgium,Males,Total,5312221
2011,Belgium,Males,Total,5401718
2012,Belgium,Males,Total,5440288
2013,Belgium,Males,Total,5472856
2014,Belgium,Males,Total,5493792
2015,Belgium,Males,Total,5524068
2016,Belgium,Males,Total,5569264
2017,Belgium,Males,Total,5589272
2018,Belgium,Males,Total,5614218
2019,Belgium,Males,Total,5644826
2020,Belgium,Males,Total,5681225
2021,Belgium,Males,Total,5700474
2022,Belgium,Males,Total,5733645
2023,Belgium,Males,Total,5796147
2008,Bulgaria,Males,Total,3660367
2009,Bulgaria,Males,Total,3635855
2010,Bulgaria,Males,Total,3613958
2011,Bulgaria,Males,Total,3588926
2012,Bulgaria,Males,Total,3566767
2013,Bulgaria,Males,Total,3500611
2014,Bulgaria,Males,Total,3454629
2015,Bulgaria,Males,Total,3407807
2016,Bulgaria,Males,Total,3359761
2017,Bulgaria,Males,Total,3311969
2018,Bulgaria,Males,Total,3263234
2019,Bulgaria,Males,Total,3213926
2020,Bulgaria,Males,Total,3163414
2021,Bulgaria,Males,Total,3142310
2022,Bulgaria,Males,Total,3118181
2023,Bulgaria,Males,Total,3099503
2008,Czechia,Males,Total,5065117
2009,Czechia,Males,Total,5116678
2010,Czechia,Males,Total,5136166
2011,Czechia,Males,Total,5147231
2012,Czechia,Males,Total,5158210
2013,Czechia,Males,Total,5164349
2014,Czechia,Males,Total,5162380
2015,Czechia,Males,Total,5176927
2016,Czechia,Males,Total,5186330
2017,Czechia,Males,Total,5200687
2018,Czechia,Males,Total,5219791
2019,Czechia,Males,Total,5244194
2020,Czechia,Males,Total,5271996
2021,Czechia,Males,Total,5170902
2022,Czechia,Males,Total,5183775
2023,Czechia,Males,Total,5308523
2008,Denmark,Males,Total,2712666
2009,Denmark,Males,Total,2732020
2010,Denmark,Males,Total,2743286
2011,Denmark,Males,Total,2756582
2012,Denmark,Males,Total,2766776
2013,Denmark,Males,Total,2778852
2014,Denmark,Males,Total,2792279
2015,Denmark,Males,Total,2811014
2016,Denmark,Males,Total,2837887
2017,Denmark,Males,Total,2860178
2018,Denmark,Males,Total,2876473
2019,Denmark,Males,Total,2889073
2020,Denmark,Males,Total,2896918
2021,Denmark,Males,Total,2904857
2022,Denmark,Males,Total,2922915
2023,Denmark,Males,Total,2948999
2008,Germany,Males,Total,40274292
2009,Germany,Males,Total,40184283
2010,Germany,Males,Total,40103606
2011,Germany,Males,Total,39124600
2012,Germany,Males,Total,39229947
2013,Germany,Males,Total,39380976
2014,Germany,Males,Total,39556923
2015,Germany,Males,Total,39835457
2016,Germany,Males,Total,40514123
2017,Germany,Males,Total,40697118
2018,Germany,Males,Total,40843565
2019,Germany,Males,Total,40966691
